number;shape;provenance;date;latitude;longitude
1;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
3;AMPHORA, NECK;ITALY, ETRURIA, VULCI;;42.421429;11.702499
33;AMPHORA, NECK FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
38;AMPHORA, NECK;ITALY, ETRURIA, TARQUINIA;-550 to -500;42.254315;11.759148
50;AMPHORA, NECK;ITALY, CAPUA;;41.100278;14.221244
62;AMPHORA, NECK FRAGMENT;ATHENS;-600 to -550;37.976173;23.72519
64;AMPHORA, NECK;ITALY, ETRURIA, TARQUINIA;-550 to -500;42.254315;11.759148
214;AMPHORA;ITALY, TARANTO;;40.47611;17.22972
354;AMPHORA B;ATTICA;-625 to -575;38.0519988333;23.8189911
358;AMPHORA, NECK;ITALY, ETRURIA, VULCI;;42.421429;11.702499
404;AMPHORA;ITALY, ETRURIA, VULCI;;42.421429;11.702499
405;AMPHORA;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
467;AMPHORA, NECK;SICILY, GELA;-525 to -475;37.07117;14.248967
535;AMPHORA FRAGMENT;ITALY, ETRURIA, CERVETERI;;41.992798;12.092428
587;AMPHORA FRAGMENT;EGYPT, NAUCRATIS;-575 to -525;30.954058;30.522766
590;AMPHORA FRAGMENT;ITALY, CUMAE;-550 to -500;40.847093;14.056149
592;AMPHORA, NECK (?) FRAGMENT;EGYPT, NAUCRATIS;-575 to -525;30.954058;30.522766
593;AMPHORA, NECK FRAGMENT;EGYPT, NAUCRATIS;-575 to -525;30.954058;30.522766
606;AMPHORA B;ITALY, ETRURIA, VULCI (?);-550 to -500;42.421429;11.702499
610;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
611;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
612;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
613;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
614;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
615;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
616;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
617;AMPHORA, NECK;ITALY, REGGIO CALABRIA (?);-525 to -475;38.1143;15.651569
618;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
619;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-525 to -475;42.421429;11.702499
620;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
621;AMPHORA B;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
622;AMPHORA B;ITALY, ETRURIA, VULCI;-575 to -525;42.421429;11.702499
665;AMPHORA, NECK;ITALY, ETRURIA, CERVETERI (?);-575 to -525;41.992798;12.092428
744;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-575 to -525;42.421429;11.702499
745;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-575 to -525;42.421429;11.702499
746;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-575 to -525;42.421429;11.702499
762;AMPHORA, NECK (?) FRAGMENT;ITALY, FERENTO;-550 to -500;42.488429;12.132554
842;AMPHORA, NECK FRAGMENT;CORINTH;;37.9333;22.9167
854;AMPHORA FRAGMENT;ATTICA, THORIKOS;;37.732304;24.048901
856;AMPHORA;ATHENS;-600 to -550;37.976173;23.72519
904;AMPHORA, NECK FRAGMENT;CORINTH;;37.9333;22.9167
907;AMPHORA, NECK;AEGINA;;37.75;23.4333
916;AMPHORA FRAGMENT;GREECE, SPARTA;;37.0833;22.4167
919;AMPHORA, NECK;ITALY, ETRURIA, VULCI;;42.421429;11.702499
921;AMPHORA, NECK;ITALY, ETRURIA, VULCI;;42.421429;11.702499
966;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
993;AMPHORA FRAGMENT;ITALY, SIBARIS;;39.75;16.45
1003;AMPHORA FRAGMENT;ITALY, GRAVISCA;;42.247835;11.684647
1017;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1118;AMPHORA FRAGMENT;ATHENS (?);;37.976173;23.72519
1158;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1159;AMPHORA, NECK;ITALY, ETRURIA, VULCI;to -475;42.421429;11.702499
1160;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1161;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1162;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1268;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
1269;AMPHORA, NECK;ITALY, ETRURIA, VULCI;-550 to -500;42.421429;11.702499
