number;shape;provenance;date;latitude;longitude
2;KRATER, COLUMN FRAGMENT;ATHENS, AGORA;-550 to -500;37.995486;23.731327
155;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
185;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
187;KRATER, CALYX;ITALY, ETRURIA, CERVETERI, NEAR;-550 to -500;41.992798;12.092428
222;KRATER, BELL FRAGMENTS;CORINTH;-450 to -400;37.9333;22.9167
223;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
282;KRATER, COLUMN;ITALY, ETRURIA;-550 to -500;42.8333;12.8333
378;KRATER, CALYX FRAGMENTS;ATHENS, CERAMICUS;;37.978333;23.718611
395;KRATER, BELL FRAGMENTS;ATHENS, AGORA;;37.995486;23.731327
416;KRATER, CALYX;ITALY, BOLOGNA;;44.504822;11.34516
440;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
485;KRATER, CALYX FRAGMENT;CORINTH;;37.9333;22.9167
486;KRATER, CALYX FRAGMENT;CORINTH;-425 to -375;37.9333;22.9167
487;KRATER, CALYX FRAGMENT;CORINTH;;37.9333;22.9167
488;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
862;KRATER, BELL FRAGMENT;ATHENS, AGORA;;37.995486;23.731327
881;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
882;KRATER, CALYX FRAGMENTS;CORINTH;;37.9333;22.9167
883;KRATER, CALYX FRAGMENT;CORINTH;;37.9333;22.9167
884;KRATER, CALYX FRAGMENT;CORINTH;;37.9333;22.9167
885;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
886;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
887;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
888;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
889;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
890;KRATER, BELL FRAGMENTS;CORINTH;;37.9333;22.9167
891;KRATER, BELL FRAGMENTS;CORINTH;;37.9333;22.9167
892;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
893;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
894;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
895;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
896;KRATER, BELL FRAGMENTS;CORINTH;;37.9333;22.9167
897;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
898;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
899;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
900;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
901;KRATER, BELL;CORINTH;;37.9333;22.9167
902;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
903;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
910;KRATER, COLUMN;SICILY, CALTANISSETTA;;37.491204;14.05632
911;KRATER, COLUMN;SICILY, CALTANISSETTA;;37.491204;14.05632
924;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
925;KRATER, BELL FRAGMENT;CORINTH;;37.9333;22.9167
926;KRATER, BELL;CORINTH;;37.9333;22.9167
946;KRATER, BELL FRAGMENTS;ATHENS, AGORA;;37.995486;23.731327
1028;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
1307;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
1308;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
1310;KRATER, BELL FRAGMENTS;CORINTH;;37.9333;22.9167
1314;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
1316;KRATER, BELL FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
1317;KRATER, BELL FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
1321;KRATER, VOLUTE;ITALY, RAVENNA, S. MARTINO IN GATTARA;;44.4174995422363;12.2011113166809
1323;KRATER, COLUMN;ITALY, CHIUSI;;43.016948;11.948318
1361;KRATER FRAGMENT;ATHENS, CERAMICUS;;37.978333;23.718611
1422;KRATER, BELL;ITALY, CAMPANIA;;41;14.5
1495;KRATER, CALYX FRAGMENT;ITALY, ROSELLE;;41.901894;14.350204
1603;KRATER;ITALY, ROSELLE;;41.901894;14.350204
1659;KRATER, COLUMN FRAGMENT;GREECE, EUBOEA, CHALKIS;;38.457139;23.621937
1679;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1680;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1681;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1682;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1683;KRATER FRAGMENTS;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1684;KRATER FRAGMENTS;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1685;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1686;KRATER FRAGMENTS;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1687;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1688;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1689;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1690;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1691;KRATER FRAGMENTS;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1701;KRATER, COLUMN FRAGMENTS;CRETE, KNOSSOS;;35.2986297607422;25.1602792739868
1718;KRATER FRAGMENT;CORINTH;;37.9333;22.9167
1719;KRATER FRAGMENT;CORINTH;;37.9333;22.9167
1720;KRATER FRAGMENT;CORINTH;;37.9333;22.9167
1721;KRATER FRAGMENT;CORINTH;;37.9333;22.9167
1722;KRATER FRAGMENT;CORINTH;;37.9333;22.9167
1723;KRATER, CALYX FRAGMENT;CORINTH;;37.9333;22.9167
1724;KRATER FRAGMENTS;CORINTH;;37.9333;22.9167
1726;KRATER, COLUMN FRAGMENTS;SAMOTHRACE;;40.44956;25.584412
1772;KRATER, COLUMN FRAGMENTS;ATTICA, DEMA;;38.099983;23.659058
1804;KRATER, CALYX FRAGMENT;ITALY, TARANTO;-425 to -375;40.47611;17.22972
1860;KRATER, BELL;ATHENS, PIRAEUS;-450 to -400;37.95056;23.640518
1861;KRATER, BELL;ATHENS, PIRAEUS;-450 to -400;37.95056;23.640518
1896;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
1897;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
2053;KRATER, BELL;SICILY, VASSALLAGGI;;37.487391;14.055634
2056;KRATER, BELL;SICILY, VASSALLAGGI;;37.487391;14.055634
2065;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
2069;KRATER, BELL;SICILY, VASSALLAGGI;;37.487391;14.055634
2076;KRATER, COLUMN;SICILY, VASSALLAGGI;;37.487391;14.055634
2077;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
